# format_version: 1;
# system_name: Nexus;
# date_time: 2021-09-13T00-00-00Z;
# samples_per_day: 144;
# project_first_level: AIRPORT;
# project_second_level: AD8_PROTOTYPE;
# project_name: GENERAL_DAQ;
# project_version: 0;
# license: Usage policy according to https://onedas.iwes.fraunhofer.de/attachments/AIRPORT_AD8_PROTOTYPE_GENERAL_DAQ/UsageAgreementAdwen.pdf.;
Unix time;M0000_V1;P0420_RotorSpdRaw;M0010_V2;M0020_V3;M0030_V4;M0040_V5;M0050_V6;M0060_Precipitation;M0070_D1;M0100_D4;M0110_D5;M0200_B1;M0210_B2;M0220_T1;
-;600 s_mean;600 s_mean;600 s_mean;600 s_mean;600 s_mean;600 s_mean;600 s_mean;600 s_mean;600 s_mean_polar;600 s_mean_polar;600 s_mean_polar;600 s_mean;600 s_mean;600 s_mean;
-;m/s;rpm;m/s;m/s;m/s;m/s;m/s;mm;deg;deg;deg;hPa;hPa;�C;
1631491200.00000;6.323;0.1666;6.332;5.528;4.792;3.717;2.649;0;258.3;240.1;233.7;1001;1013;14;
1631491800.00000;6.664;0.1941;6.664;5.812;4.905;3.762;2.554;0;263.4;246.1;239.5;1001;1013;14.1;
1631492400.00000;6.255;0.1432;6.254;5.807;4.621;3.125;2.222;0;274.1;252.2;248.5;1001;1013;14.45;
1631493000.00000;5.674;0.1323;5.672;5.58;4.784;3.128;2.101;0;276.2;253.9;248.8;1001;1013;14.71;
1631493600.00000;6.173;0.1712;6.184;5.651;5.078;3.612;2.471;0;282.9;255.9;248.7;1001;1013;14.81;
1631494200.00000;6.126;0.165;6.071;5.533;4.777;3.322;2.394;0;292.4;276.1;269.3;1001;1013;14.89;
1631494800.00000;4.713;0.1311;4.582;4.491;3.993;3.149;2.551;0;292.2;283.3;275.9;1001;1013;14.89;
1631495400.00000;4.771;0.1679;4.721;4.488;3.589;2.463;1.889;0;286.8;267.3;259.8;1001;1013;14.96;
1631496000.00000;5.131;0.1208;5.029;4.434;3.735;2.934;2.1;0;290.9;270.6;263.5;1001;1013;15.03;
1631496600.00000;5.177;0.1232;4.724;4.575;3.949;3.038;2.257;0;303.8;287.1;277.1;1001;1013;15.12;
1631497200.00000;5.057;0.1109;4.756;4.428;3.616;2.549;2.026;0;312;291.6;281.3;1001;1013;15.35;
1631497800.00000;4.019;0.07275;3.867;3.905;3.762;3.212;2.586;0;299.3;288.3;277.3;1001;1013;15.38;
1631498400.00000;6.071;0.1328;5.93;5.559;4.99;4.347;3.676;0.0005067;313.8;303.9;296.8;1001;1013;15.11;
1631499000.00000;6.361;0.08754;6.342;5.673;4.779;3.598;2.809;0.0001667;325.5;324.9;319.4;1001;1013;15.03;
1631499600.00000;5.917;0.09482;5.89;5.208;4.18;3.1;2.632;0;320;311.9;306.5;1001;1013;15.48;
1631500200.00000;5.934;0.1034;5.926;5.424;4.557;3.25;2.613;0;326;318.5;311.1;1001;1013;15.69;
1631500800.00000;6.32;0.1108;6.288;5.839;5.299;4.626;3.777;0;328.9;323.5;315.2;1002;1013;15.61;
1631501400.00000;5.836;0.09008;5.813;5.531;4.955;4.07;3.345;0.0001667;344;346.9;338.3;1002;1014;15.3;
1631502000.00000;6.165;0.06897;6.158;5.67;5.118;3.926;3.112;0;342.5;348.2;342;1002;1014;15.28;
1631502600.00000;6.27;0.07659;6.249;6.068;5.699;4.636;3.61;0;346.4;347.4;341.4;1002;1014;15.3;
1631503200.00000;5.666;0.05889;5.637;5.167;4.398;3.639;2.844;0;345.2;350.3;343.8;1002;1014;15.25;
1631503800.00000;5.757;0.09535;5.657;5.417;4.886;4.19;3.399;0;322.8;323.8;319.7;1002;1014;15.05;
1631504400.00000;4.065;0.04126;4.019;3.614;3.046;2.279;1.562;0;325.4;316.8;312.8;1002;1014;14.93;
1631505000.00000;4.408;0.07325;4.202;4.057;3.549;2.818;2.293;0;316.1;303.7;298.1;1002;1014;15.09;
1631505600.00000;3.712;0.02165;3.495;3.478;3.069;2.395;1.793;0;309.9;297.9;284.4;1002;1014;15.03;
1631506200.00000;4.736;0.07767;4.556;4.299;3.798;3.047;2.386;0;315.4;312;307.5;1002;1014;15.02;
1631506800.00000;3.795;0.03471;3.725;3.162;2.579;1.885;1.448;0;324.6;321;317;1002;1014;14.8;
1631507400.00000;3.986;0.07853;3.841;3.315;2.729;2.007;1.347;0;315.1;298.9;281.3;1002;1014;14.93;
1631508000.00000;4.334;0.08804;4.122;3.668;2.8;1.788;1.262;0;313.4;287.3;263;1002;1014;15.1;
1631508600.00000;4.885;0.0891;4.546;3.965;3.081;2.122;1.674;0;310.1;282.1;253;1002;1014;15.3;
1631509200.00000;4.386;0.09932;4.21;3.762;3.251;2.759;2.005;0;296.8;271.3;256.8;1002;1013;15.3;
1631509800.00000;5.035;0.09487;4.736;4.396;3.685;2.916;1.969;0;299.4;282.1;269;1002;1014;15.14;
1631510400.00000;5.17;0.09294;4.471;4.599;3.848;2.777;2.155;0;305.9;303.3;298.4;1002;1014;15.19;
1631511000.00000;5.511;0.103;4.851;4.817;3.899;2.953;2.363;0;300.6;302.8;300;1002;1014;15.26;
1631511600.00000;6.003;0.09885;5.033;5.276;4.369;3.289;2.679;0;306.3;302.7;300.3;1002;1014;15.36;
1631512200.00000;5.461;0.07833;4.834;5.06;4.151;3.23;2.508;0;309.5;307.3;301.6;1002;1014;15.37;
1631512800.00000;5.402;0.08607;4.397;5.167;4.273;3.187;2.455;0;305.2;303.4;298.7;1002;1014;15.53;
1631513400.00000;5.506;0.1101;5.506;5.217;4.505;3.313;2.667;0;294.9;297.3;293.2;1002;1014;15.49;
1631514000.00000;5.312;0.1067;5.424;4.98;4.407;3.291;2.66;0;293.6;290.1;283.4;1002;1014;15.4;
1631514600.00000;5.611;0.1122;5.418;5.223;4.549;3.317;2.657;0;293.9;282.8;272.6;1003;1014;15.42;
1631515200.00000;5.087;0.1101;4.782;4.478;3.73;2.984;2.374;0;299.4;293.5;287.7;1003;1014;15.41;
1631515800.00000;5.641;0.1004;5.019;4.953;4.088;3.063;2.504;0;305.4;297.1;292;1003;1014;15.41;
1631516400.00000;4.794;0.03837;4.497;4.234;3.803;3.042;2.588;0;300;295.5;290.4;1003;1015;15.48;
1631517000.00000;4.68;0.002395;4.517;4.207;3.554;2.827;2.308;0;295.8;294.9;289.6;1003;1015;15.41;
1631517600.00000;4.826;0.02994;4.81;4.536;4.089;3.389;2.799;0;286.9;286.9;282.2;1003;1015;15.38;
1631518200.00000;4.424;0.07374;4.393;3.99;3.664;3.361;2.937;0;293.4;292.8;287.8;1003;1015;15.29;
