# format_version: 1;
# system_name: Nexus;
# date_time: 2021-01-13T00-00-00Z;
# samples_per_day: 144;
# project_first_level: AIRPORT;
# project_second_level: AD8_PROTOTYPE;
# project_name: ISPIN;
# project_version: 0;
# license: Data from this project may only be used and distributed within Fraunhofer IWES.;
Unix time;SaDataValid;WS_free_avg;DataOK;
-;600 s;600 s;600 s;
-;-;m/s;-;
1610496000.00000;1;11.85;0;
1610496600.00000;1;11.72;0;
1610497200.00000;1;11.52;0;
1610497800.00000;1;11.49;0;
1610498400.00000;1;11.6;0;
1610499000.00000;1;12.34;0;
1610499600.00000;1;12.62;0;
1610500200.00000;1;11.87;0;
1610500800.00000;1;11.6;0;
1610501400.00000;1;11.05;0;
1610502000.00000;1;10.58;0;
1610502600.00000;1;13.15;0;
1610503200.00000;1;12.49;0;
1610503800.00000;1;12.45;0;
1610504400.00000;1;12.51;0;
1610505000.00000;1;11.89;0;
1610505600.00000;1;13.1;0;
1610506200.00000;1;12.81;0;
1610506800.00000;1;12.78;0;
1610507400.00000;1;12.99;0;
1610508000.00000;1;12.34;0;
1610508600.00000;1;11.5;0;
1610509200.00000;1;11.24;0;
1610509800.00000;1;11.51;0;
1610510400.00000;1;13.94;0;
1610511000.00000;1;11.94;0;
1610511600.00000;1;11.89;0;
1610512200.00000;1;11.33;0;
1610512800.00000;1;11.56;0;
1610513400.00000;1;11.69;0;
1610514000.00000;1;11.91;0;
1610514600.00000;1;11.67;0;
1610515200.00000;1;12.19;0;
1610515800.00000;1;11.92;0;
1610516400.00000;1;13.11;0;
1610517000.00000;1;12.39;0;
1610517600.00000;1;12.24;0;
1610518200.00000;1;12.59;0;
1610518800.00000;1;12.68;0;
1610519400.00000;1;12.5;0;
1610520000.00000;1;13.02;0;
1610520600.00000;1;12.7;0;
1610521200.00000;1;12.67;0;
1610521800.00000;1;12.11;0;
1610522400.00000;1;12.44;1;
1610523000.00000;1;12.19;1;
1610523600.00000;1;12.26;1;
1610524200.00000;1;12.64;1;
1610524800.00000;1;12.91;1;
