# format_version: 1;
# system_name: Nexus;
# date_time: 2021-06-13T00-00-00Z;
# samples_per_day: 144;
# project_first_level: AIRPORT;
# project_second_level: AD8_PROTOTYPE;
# project_name: LIDAR_2020;
# project_version: 0;
Unix time;BlackTC_110m_HWS_hub;BluePO_110m_HWS_hub;GreenPO_110m_HWS_hub;BlackTC_110m_HWS_hub_availability;BluePO_110m_HWS_hub_availability;GreenPO_110m_HWS_hub_availability;
-;600 s;600 s;600 s;600 s;600 s;600 s;
-;;;;;;;
1623542400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623543000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623543600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623544200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623544800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623545400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623546000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623546600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623547200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623547800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623548400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623549000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623549600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623550200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623550800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623551400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623552000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623552600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623553200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623553800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623554400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623555000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623555600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623556200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623556800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623557400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623558000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623558600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623559200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623559800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623560400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623561000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623561600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623562200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623562800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623563400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623564000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623564600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623565200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623565800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623566400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623567000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623567600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623568200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623568800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623569400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623570000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623570600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623571200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623571800.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623572400.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623573000.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623573600.00000;NaN;NaN;NaN;NaN;NaN;NaN;
1623574200.00000;NaN;NaN;NaN;NaN;NaN;NaN;
