# format_version: 1;
# system_name: Nexus;
# date_time: 2021-01-13T00-00-00Z;
# samples_per_day: 144;
# project_first_level: AIRPORT;
# project_second_level: AD8_PROTOTYPE;
# project_name: WIND_CUBE;
# project_version: 0;
# license: Data from this project may only be used and distributed within Fraunhofer IWES.;
Unix time;WC_115m_Wind_Speed;
-;600 s;
-;m/s;
1610496000.00000;11.12;
1610496600.00000;10.48;
1610497200.00000;10.67;
1610497800.00000;10.44;
1610498400.00000;10.9;
1610499000.00000;11.39;
1610499600.00000;11.71;
1610500200.00000;10.94;
1610500800.00000;10.9;
1610501400.00000;9.83;
1610502000.00000;9.76;
1610502600.00000;10.92;
1610503200.00000;10.97;
1610503800.00000;11.34;
1610504400.00000;11.45;
1610505000.00000;10.91;
1610505600.00000;11.67;
1610506200.00000;11.94;
1610506800.00000;11.85;
1610507400.00000;12.81;
1610508000.00000;11.09;
1610508600.00000;10.62;
1610509200.00000;10.18;
1610509800.00000;10.32;
1610510400.00000;12.05;
1610511000.00000;10.97;
1610511600.00000;10.76;
1610512200.00000;10.44;
1610512800.00000;10.48;
1610513400.00000;10.72;
1610514000.00000;11.13;
1610514600.00000;11.24;
1610515200.00000;10.98;
1610515800.00000;10.98;
1610516400.00000;12.2;
1610517000.00000;11.64;
1610517600.00000;11.44;
1610518200.00000;11.76;
1610518800.00000;12.07;
1610519400.00000;11.88;
1610520000.00000;12.04;
1610520600.00000;11.67;
1610521200.00000;11.56;
1610521800.00000;11.85;
1610522400.00000;12.53;
1610523000.00000;12.41;
1610523600.00000;12.28;
1610524200.00000;12;
1610524800.00000;12.88;
1610525400.00000;12.19;
1610526000.00000;12.74;
1610526600.00000;12.68;
1610527200.00000;11.8;
1610527800.00000;10.76;
1610528400.00000;11;
1610529000.00000;12.08;
1610529600.00000;12.86;
1610530200.00000;12.38;
1610530800.00000;12.83;
1610531400.00000;12.55;
1610532000.00000;12.76;
1610532600.00000;12.8;
1610533200.00000;12.49;
1610533800.00000;12.24;
1610534400.00000;13.01;
1610535000.00000;11.18;
1610535600.00000;11.69;
1610536200.00000;12.8;
1610536800.00000;12.99;
1610537400.00000;12.87;
1610538000.00000;12.09;
1610538600.00000;12.12;
1610539200.00000;12.83;
1610539800.00000;12.68;
1610540400.00000;14.01;
1610541000.00000;15.98;
1610541600.00000;15.5;
1610542200.00000;14.94;
1610542800.00000;15.22;
1610543400.00000;15.13;
1610544000.00000;16.03;
1610544600.00000;16.47;
1610545200.00000;17.06;
1610545800.00000;15.06;
1610546400.00000;14.47;
1610547000.00000;14.87;
1610547600.00000;15.09;
1610548200.00000;12.46;
1610548800.00000;11.67;
1610549400.00000;11.44;
1610550000.00000;12.52;
1610550600.00000;12.85;
1610551200.00000;11.56;
1610551800.00000;11.9;
1610552400.00000;13.41;
1610553000.00000;13.32;
1610553600.00000;14.88;
1610554200.00000;15.69;
1610554800.00000;14.16;
1610555400.00000;12.23;
1610556000.00000;13.28;
1610556600.00000;12.19;
1610557200.00000;12.28;
1610557800.00000;12.27;
1610558400.00000;11.36;
1610559000.00000;11.06;
1610559600.00000;11.55;
1610560200.00000;12.52;
1610560800.00000;12.34;
1610561400.00000;10.36;
1610562000.00000;11;
1610562600.00000;12.14;
1610563200.00000;11.4;
1610563800.00000;11.31;
1610564400.00000;11.47;
1610565000.00000;10.91;
1610565600.00000;9.81;
1610566200.00000;10.26;
1610566800.00000;12.11;
1610567400.00000;11.43;
1610568000.00000;11.27;
1610568600.00000;11.77;
1610569200.00000;10.24;
1610569800.00000;10.79;
1610570400.00000;11.22;
1610571000.00000;10.57;
1610571600.00000;11.1;
1610572200.00000;11.38;
1610572800.00000;11.32;
1610573400.00000;12.96;
1610574000.00000;13.14;
1610574600.00000;11.37;
1610575200.00000;12.69;
1610575800.00000;13.27;
1610576400.00000;13.43;
1610577000.00000;12.41;
1610577600.00000;11.54;
1610578200.00000;12.52;
1610578800.00000;12.44;
1610579400.00000;13.2;
1610580000.00000;13.31;
1610580600.00000;12.37;
1610581200.00000;11.96;
1610581800.00000;12.16;
1610582400.00000;12.19;
1610583000.00000;12.14;
1610583600.00000;11.45;
1610584200.00000;10.26;
1610584800.00000;10.05;
1610585400.00000;10.31;
1610586000.00000;10.66;
1610586600.00000;10.58;
1610587200.00000;11.82;
1610587800.00000;10.42;
1610588400.00000;10.37;
1610589000.00000;10.22;
1610589600.00000;10.29;
1610590200.00000;10.38;
1610590800.00000;10.72;
1610591400.00000;10.34;
1610592000.00000;9.95;
1610592600.00000;9.8;
1610593200.00000;9.23;
1610593800.00000;9.81;
1610594400.00000;10.26;
1610595000.00000;9.3;
1610595600.00000;10.05;
1610596200.00000;10.2;
1610596800.00000;9.53;
1610597400.00000;9.4;
1610598000.00000;8.91;
1610598600.00000;9;
1610599200.00000;9.24;
1610599800.00000;8.99;
1610600400.00000;9.1;
1610601000.00000;8.67;
1610601600.00000;8.62;
1610602200.00000;8.68;
1610602800.00000;8.41;
1610603400.00000;8.39;
1610604000.00000;8.32;
1610604600.00000;8.22;
1610605200.00000;7.07;
1610605800.00000;6.9;
1610606400.00000;7.1;
1610607000.00000;7.03;
1610607600.00000;6.8;
1610608200.00000;7.03;
1610608800.00000;6.67;
1610609400.00000;6.06;
1610610000.00000;6.54;
1610610600.00000;6.04;
1610611200.00000;6.07;
1610611800.00000;5.92;
1610612400.00000;5.67;
1610613000.00000;5.35;
1610613600.00000;4.8;
1610614200.00000;5.69;
1610614800.00000;5.17;
1610615400.00000;5.38;
1610616000.00000;5.61;
1610616600.00000;5.55;
1610617200.00000;5.49;
1610617800.00000;5.82;
1610618400.00000;5.28;
1610619000.00000;5.15;
1610619600.00000;4.95;
1610620200.00000;4.16;
1610620800.00000;5.03;
1610621400.00000;4.82;
1610622000.00000;4.47;
1610622600.00000;5.64;
1610623200.00000;4.57;
1610623800.00000;4.36;
1610624400.00000;4.89;
1610625000.00000;4.98;
1610625600.00000;5.21;
1610626200.00000;5.74;
1610626800.00000;4.84;
1610627400.00000;5.41;
1610628000.00000;3.87;
1610628600.00000;4.33;
1610629200.00000;4.25;
1610629800.00000;4.12;
1610630400.00000;4.3;
1610631000.00000;3.56;
1610631600.00000;3.98;
1610632200.00000;4.58;
1610632800.00000;4.73;
1610633400.00000;4.23;
1610634000.00000;3.7;
1610634600.00000;3.07;
1610635200.00000;3.13;
1610635800.00000;3.81;
1610636400.00000;3.42;
1610637000.00000;4.02;
1610637600.00000;4.18;
1610638200.00000;4.18;
1610638800.00000;4.4;
1610639400.00000;4.31;
1610640000.00000;5.15;
1610640600.00000;5.24;
1610641200.00000;5.39;
1610641800.00000;5.34;
1610642400.00000;5.27;
1610643000.00000;4.88;
1610643600.00000;4.55;
1610644200.00000;4.37;
1610644800.00000;3.76;
1610645400.00000;3.52;
1610646000.00000;4.03;
1610646600.00000;3.97;
1610647200.00000;3.71;
1610647800.00000;3.45;
1610648400.00000;4.49;
1610649000.00000;4.29;
1610649600.00000;4.72;
1610650200.00000;4.85;
1610650800.00000;4.47;
1610651400.00000;4.34;
1610652000.00000;4.25;
1610652600.00000;4.23;
1610653200.00000;3.53;
1610653800.00000;4.01;
1610654400.00000;4.41;
1610655000.00000;4.43;
1610655600.00000;4.28;
1610656200.00000;4.86;
1610656800.00000;5.17;
1610657400.00000;5.37;
1610658000.00000;5.3;
1610658600.00000;5.95;
1610659200.00000;5.35;
1610659800.00000;5.82;
1610660400.00000;5.19;
1610661000.00000;6.21;
1610661600.00000;5.79;
1610662200.00000;5.77;
1610662800.00000;5.52;
1610663400.00000;4.69;
1610664000.00000;4.76;
1610664600.00000;4.74;
1610665200.00000;4.66;
1610665800.00000;5.04;
1610666400.00000;4.46;
1610667000.00000;4.4;
1610667600.00000;4.6;
1610668200.00000;4.26;
1610668800.00000;4.67;
1610669400.00000;5.08;
1610670000.00000;4.98;
1610670600.00000;5.01;
1610671200.00000;4.77;
1610671800.00000;4.8;
1610672400.00000;4.86;
1610673000.00000;5.01;
1610673600.00000;5.09;
1610674200.00000;5.11;
1610674800.00000;4.84;
1610675400.00000;4.51;
1610676000.00000;4.97;
1610676600.00000;4.57;
1610677200.00000;4.77;
1610677800.00000;4.96;
